Strategy,E[Return],Vol.,Downside Deviation,MDD,Sharpe,Sortino,Calmar,Fraction +ve Returns,Ave. Profit / Ave. Loss,Turnover,Ave. Position
LONG ONLY,0.14329154771015187,0.15544970344245446,0.11445083203582604,-0.220909035789158,0.9217872053592988,1.2519921887968273,0.6486450280237224,0.5441527446300716,0.9808660889290293,0.0,1.0
SGN(RETURN),0.06194428430835593,0.15566330247231877,0.117573990755317,-0.362339988897894,0.39793762129241306,0.5268536341278749,0.17095624608470028,0.5218774860779634,0.9771114202569201,0.05409705648369133,1.0
MACD,0.00902356175737265,0.08901062870106148,0.06848925620396487,-0.17388877566416372,0.1013762276376893,0.13175149297139355,0.051892721211633054,0.5186953062848051,0.9463874883880847,0.042739773685684844,0.5635080449348806
LINEAR,0.02245104962062954,0.07732105445462968,0.05992096683749283,-0.1578222270591777,0.290361399996211,0.3746776930605501,0.14225530864046926,0.5234685759745425,0.9774252296021227,0.16743277145375896,0.32121279447240136
MLP-SHARPE,0.003653746506677855,0.029435821123636595,0.023629892594749652,-0.05254049684662332,0.12412585642953042,0.15462391511206802,0.06954152941004543,0.5210819411296739,0.9503924004141265,0.057621638063612486,0.10792317535065694
MLP-AVGRET,0.047501829190989206,0.10251278262215165,0.0791930601532398,-0.21713429365351866,0.4633746931450936,0.5998231296918244,0.21876705144875874,0.5505171042163882,0.916176318050767,0.012380414603380336,0.46078579182346574
MLP-MSE,0.00030571271163596254,0.012127864906442817,0.009949409421875234,-0.02511652859699076,0.02520746347310939,0.030726719413496882,0.012171774075203621,0.5147175815433572,0.9490795023466025,0.02253973983500415,0.0461211329771919
MLP-BINARY,0.013475495450062608,0.02372682126363223,0.018223241882447595,-0.03776094286235698,0.5679435648093936,0.739467518292782,0.3568633203673529,0.5298329355608592,1.0055767428506472,0.030294212100567416,0.1145515983362817
