Date,close,Volume,Asset,dff_level,fedfunds_monthly_level,ret_1d,next_ret_1d,sigma,daily_sigma,vol_scale,scaled_next_ret,ret_1d_norm,ret_21d_norm,ret_63d_norm,ret_126d_norm,ret_252d_norm,macd_8_24,macd_16_48,macd_32_96,sigma_norm,dff_change_21d,fedfunds_monthly_change_3m,dff_minus_monthly_fedfunds,LONG ONLY,SIGN MOMENTUM,MACD MOMENTUM,DMN-SHARPE,DMN-AVGRET,test_year
2016-01-04,105.35,69383612,AAPL,0.36,0.34,0.0008550256507693366,-0.025059326056003806,0.25291998701735896,0.01593246160108611,0.5930729388725805,-0.014862008150200409,0.05366560017662606,-1.2874268179977724,-0.36034989993740585,-0.9163920936516385,-0.1439330591411764,-1.6153831363593052,-1.4192257425763273,-0.6775560008645941,-0.06456168228285175,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,-1.0,-0.8626043180525819,-0.031770081092510796,0.23750632918149817,2016
2016-01-04,91.97,2993832,ADBE,0.36,0.34,-0.020970832446242316,0.004023050994889754,0.2584289066325996,0.016279490917623547,0.5804304245780461,0.0023351011970629905,-1.288174161625564,-0.0072834517921330725,0.7352993498705082,0.7797249324733493,1.0500275360407278,0.7531417058407615,1.8584338680889119,3.532218811063483,0.08833758857245955,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,1.0,0.5967753844902209,0.10766726240395992,0.1664312177070042,2016
2016-01-04,2.77,32516771,AMD,0.36,0.34,-0.03484320557491294,-0.0072202166064981865,0.5393020843584432,0.03397283801788613,0.2781372524796392,-0.00200821120923927,-1.0256192108641755,1.4148247337098891,1.904910802441042,0.31849835169488616,0.055144931315446795,2.2914295854029594,2.4349242295848157,1.895215320748249,0.026587546377399462,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,1.0,0.7272639709041774,5.4584269340128086e-05,0.14084128546849964,2016
2016-01-04,184.835175,222353500,SPY,0.36,0.34,-0.01397953614848102,0.001691268991413697,0.1669771277786174,0.010518570350906586,0.8983266270987358,0.0015193119685733471,-1.3290325958555935,-0.6281220014260493,0.44325660974552533,-0.141446936739956,-0.007633652409534316,-0.32776320118062036,0.04092906180259096,0.448543526188787,0.13869311487927094,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,-1.0,0.05557120138001429,0.018053090097057495,0.1915607625634732,2016
2016-01-05,102.71,55791042,AAPL,0.36,0.34,-0.025059326056003806,-0.019569662155583645,0.2570619270794275,0.016193379299885367,0.5835169824804616,-0.011419230209188254,-1.547503465267842,-1.4610422161443855,-0.5667667668349148,-1.0058344660459289,-0.12960941412547208,-1.7538376858599987,-1.5187894343526653,-0.7478551142670462,-0.048373726349937196,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,-1.0,-0.8675424261041845,0.025409513467939532,0.21914699664414755,2016
2016-01-05,92.34,1821298,ADBE,0.36,0.34,0.004023050994889754,-0.014294996751137212,0.2543231057088783,0.01602084977055436,0.5898009132198309,-0.008431202138295244,0.2511133018144223,0.36813153473918847,0.5954808379070862,0.810747962879905,1.1121928425476386,0.5357177142582218,1.7382789406518504,3.4930753843426885,0.07173276707138365,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,1.0,0.5545582413924258,0.1961668062637497,0.19186592335094171,2016
2016-01-05,2.75,12972260,AMD,0.36,0.34,-0.0072202166064981865,-0.08909090909090911,0.5318093686289288,0.03350084129253382,0.2820559562286742,-0.02512862155491825,-0.21552337710616096,1.5189136727682955,1.984838135853355,0.8397628379774635,0.06362164306578257,1.9777374559993524,2.3360249824361703,1.901672825668284,0.010723816108846762,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,1.0,0.7905932898824256,0.046639085659018295,0.15718389202242364,2016
2016-01-05,185.147781,110845800,SPY,0.36,0.34,0.001691268991413697,-0.012614220853124913,0.1643304673345179,0.010351846414241847,0.9127948239485852,-0.011514195502876728,0.1633783278800977,-0.31286790891059385,0.2507058705173966,-0.18238617906397167,0.11448851689291475,-0.5556235084724109,-0.09033486203833625,0.39419879012396863,0.11987811335640175,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,1.0,-0.08439180784249188,-0.018038127257289906,0.2166752658058109,2016
2016-01-06,100.7,68487388,AAPL,0.36,0.34,-0.019569662155583645,-0.04220456802383321,0.25716358268344724,0.016199783001018993,0.5832863208498728,-0.02461734720567986,-1.208019272490252,-2.0743743246793525,-0.7413131354373843,-0.9812283858370472,-0.20346770925503468,-1.9546018364287363,-1.6569619256185453,-0.8396811215671794,-0.047201816454231604,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,-1.0,-0.8577365794781566,0.0183673602581821,0.23168092344806826,2016
2016-01-06,91.02,1673989,ADBE,0.36,0.34,-0.014294996751137212,-0.0209843990331795,0.2538450933531665,0.01599073782253461,0.5909115595601047,-0.012399923959127652,-0.8939542358983549,-0.22994777542406294,0.5431435633320092,0.7682207192024781,1.1444564845608491,0.20263103925875203,1.5163003245919118,3.3535531317476583,0.07043153608150443,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,1.0,0.47024382476536036,0.13530837861968156,0.1781160486734098,2016
2016-01-06,2.505,23785408,AMD,0.36,0.34,-0.08909090909090911,-0.09181636726546905,0.5890506190420827,0.03710670113366664,0.2546470458581825,-0.02338076668558162,-2.4009378996156197,0.5803442045863801,1.2523624780926244,0.5912504879811297,-0.08068664180455475,1.2328969757576873,1.8938025144721342,1.6633996128569164,0.11722932790651996,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,-1.0,0.9170693309001497,0.03357663571025652,0.14878428413590442,2016
2016-01-06,182.812286,152112600,SPY,0.36,0.34,-0.012614220853124913,-0.023991576802447456,0.1653342714320305,0.010415080128695324,0.9072529167775449,-0.021766428032112938,-1.2111485063744782,-0.9612198203658302,0.13535753455766023,-0.14582775987086138,0.0939151414487643,-0.9175045241818564,-0.30613922535522603,0.2834750198269023,0.12592763370103555,0.22999999999999998,0.22000000000000003,0.019999999999999962,1.0,1.0,-0.286363339508123,0.01951937394534121,0.20273793314700003,2016
