Date,test_year,LONG ONLY,SIGN MOMENTUM,MACD MOMENTUM,DMN-SHARPE,DMN-AVGRET
2016-01-04,2016,-0.0032539515484508352,0.0034173965423626956,0.0032093734132288506,0.00018772495414151518,-0.0007832464383132793
2016-01-05,2016,-0.014123312351319618,-0.008463697246725492,-0.0034221966299060767,-0.0007327989938476133,-0.0026433328526596096
2016-01-06,2016,-0.020541116470625516,0.0034079404750052226,8.31942381319191e-06,-0.0008379339694215867,-0.003952107133048309
2016-01-07,2016,-0.007171114697885522,0.0029945329058964133,-0.002818075309227335,-0.0003841167681728734,-0.0012411605546563383
2016-01-08,2016,0.010377313249679908,-0.005271058451023476,0.0014059192810874533,0.0002770211267751487,0.0021235946280066154
2016-01-11,2016,0.005610518122713046,-0.004173064157026007,-0.0020915253097882015,0.00011042627173734723,0.0013754071506294641
2016-01-12,2016,-0.014664675656310884,0.009648418341660008,0.005110843043837384,-0.0002707275935579249,-0.0034386631835523866
2016-01-13,2016,0.00789742969223019,-0.0028710687239024537,-0.004998074764345839,0.00042440198786336503,0.001693012871279266
2016-01-14,2016,-0.012982767001331498,0.010913238584515999,0.004933885943501119,-4.365760225504033e-05,-0.0030418005957106825
2016-01-15,2016,-0.0024308331009943764,0.0024643627821027154,0.00029795276623399215,-9.438655244596282e-05,-0.0004669155753170857
2016-01-19,2016,-0.008546607520343533,0.004319546364140829,0.002165552009866534,-0.00044070418876292124,-0.0018598567123599909
2016-01-20,2016,0.008841316284107125,-0.008633097581910498,-0.001957100019235984,0.00048782037951981827,-0.00034372720473474744
2016-01-21,2016,0.012885813320478265,-0.007138747387617524,-0.008700931564508851,0.0006406285743623009,0.00037990503433774287
2016-01-22,2016,-0.007984711230241413,-0.0018275894728839353,0.004277061342116657,-0.0011513677470199508,-0.00037257973031633394
2016-01-25,2016,0.002449706293650462,-0.0020454338402185216,-0.002105674710024902,0.00010002497740285489,0.0001225623434581488
2016-01-26,2016,-0.012290440567603063,0.0053145043420512175,0.008867713714188851,-0.0006013656751695052,-0.0005193510784337232
2016-01-27,2016,0.0001328173743116507,-0.001270336739749545,-0.0008564770164315282,-9.797960844368277e-07,5.8994438124211144e-05
2016-01-28,2016,0.019200918448607274,-0.0029850177943552777,-0.010463517779360415,0.0010268132095196995,0.0004153511724029825
2016-01-29,2016,-0.001602302733186963,0.0029692819009551107,0.0011295447250970908,3.827689090763292e-05,-3.743019037158408e-05
2016-02-01,2016,-0.01113278126541785,0.006358020823541571,0.006643186503079173,-0.0007646849973634445,0.0005238444867741824
2016-02-02,2016,0.00510576356130593,-0.004988603288880515,-0.003491661481603214,0.0002656105581302294,0.0006433663424082045
2016-02-03,2016,-0.0014150204922612738,-0.0034371455479433087,-6.955694365355045e-05,-0.0001485632204612537,0.00013561602647864035
2016-02-04,2016,-0.01980544046777022,-0.001909923255974535,0.009828239638530491,-0.0011711677692175992,0.0010607742102987715
2016-02-05,2016,-0.008054815936922246,-0.002967842125612659,0.00473346010101874,-0.00044996593481291553,0.0005550684048005973
2016-02-08,2016,-0.0021534153549551526,-0.0006630383254170033,0.0011960922036135249,-0.00012117851886491574,9.116032945914677e-05
2016-02-09,2016,-0.00028055035110546834,0.004748817448512262,0.00041873307486615355,-1.5608674035166823e-05,0.00010574954124372107
2016-02-10,2016,-0.003424301179211488,0.0018990129474285044,0.0029120432013897287,-0.00019790812990753688,-2.8015435157778327e-05
2016-02-11,2016,0.005837847753572602,-0.001255740206700454,-0.004651204610074583,0.0003237860742686218,4.09205738223577e-05
2016-02-12,2016,0.00926048927742601,-0.003571046468025737,-0.007026350299855472,0.0005632181850523622,0.00012336246091363258
2016-02-16,2016,0.010339048423988502,-0.003006302026205241,-0.007929052350393945,0.0006404470416599788,-1.8824437461561734e-06
2016-02-17,2016,-0.004169387754884452,0.0011139999308298417,0.0031214357362827393,-0.0002735813707384014,-6.466734484787628e-06
2016-02-18,2016,5.563839270772147e-05,0.0007530267020847094,-0.00011206830686809877,2.5281272343045802e-06,4.020151185532307e-06
2016-02-19,2016,0.010002677816036936,-0.002953796544652807,-0.007736197581010442,0.0005817731621889765,-0.0003333585028073684
2016-02-22,2016,-0.006885155172685725,0.005227970771758119,0.004504119449599406,-0.0004574302659524577,0.00019026826803473213
2016-02-23,2016,0.004357348616053381,-0.0035438492283859694,-0.0028237018948173483,0.0002446787222859461,-0.00018430200246936904
2016-02-24,2016,0.007193853823723309,0.00047312469308085237,-0.005046007844953953,0.0004464530359664735,-0.00026289233728752086
2016-02-25,2016,0.0007354404617629147,-0.0009117586322729482,-0.000456484762662755,3.29714992381409e-05,-2.6619281540580688e-05
2016-02-26,2016,-0.001543531401392464,-0.0017087090560479552,0.0006872393402089667,-8.289047931690148e-05,0.00010590961776892032
2016-02-29,2016,0.014221931261186562,-0.006816326704280187,-0.006515789609904582,0.0008308544818277358,-0.0016930125735727078
