Strategy,E[Return],Vol.,Downside Deviation,MDD,Sharpe,Sortino,Calmar,Fraction +ve Returns,Ave. Profit / Ave. Loss,Turnover,Ave. Position
LONG ONLY,0.143 +/- 0.174,0.154 +/- 0.019,0.113 +/- 0.020,-0.117 +/- 0.060,1.028 +/- 1.186,1.527 +/- 1.789,2.312 +/- 2.803,0.544 +/- 0.039,1.008 +/- 0.135,0.000 +/- 0.000,1.000 +/- 0.000
SGN(RETURN),0.062 +/- 0.210,0.154 +/- 0.019,0.116 +/- 0.020,-0.142 +/- 0.065,0.452 +/- 1.407,0.755 +/- 2.072,1.583 +/- 3.009,0.522 +/- 0.042,0.998 +/- 0.136,0.052 +/- 0.060,1.000 +/- 0.000
MACD,0.009 +/- 0.112,0.089 +/- 0.005,0.068 +/- 0.006,-0.089 +/- 0.032,0.139 +/- 1.283,0.232 +/- 1.723,0.826 +/- 2.209,0.519 +/- 0.043,0.964 +/- 0.118,0.043 +/- 0.012,0.563 +/- 0.050
LINEAR,0.022 +/- 0.073,0.068 +/- 0.036,0.050 +/- 0.032,-0.066 +/- 0.052,0.850 +/- 1.315,1.528 +/- 2.244,1.898 +/- 2.802,0.523 +/- 0.041,1.130 +/- 0.234,0.167 +/- 0.011,0.321 +/- 0.146
MLP-SHARPE,0.004 +/- 0.024,0.025 +/- 0.015,0.019 +/- 0.014,-0.025 +/- 0.021,0.787 +/- 1.128,1.277 +/- 1.690,1.774 +/- 2.385,0.521 +/- 0.033,1.099 +/- 0.134,0.057 +/- 0.030,0.108 +/- 0.049
MLP-AVGRET,0.048 +/- 0.097,0.075 +/- 0.070,0.057 +/- 0.055,-0.070 +/- 0.079,1.189 +/- 1.357,1.936 +/- 2.321,2.918 +/- 3.833,0.551 +/- 0.044,1.055 +/- 0.189,0.011 +/- 0.010,0.461 +/- 0.428
MLP-MSE,0.000 +/- 0.010,0.011 +/- 0.006,0.008 +/- 0.005,-0.012 +/- 0.009,0.359 +/- 0.880,0.602 +/- 1.185,0.609 +/- 0.980,0.515 +/- 0.045,1.026 +/- 0.136,0.022 +/- 0.011,0.046 +/- 0.020
MLP-BINARY,0.013 +/- 0.025,0.022 +/- 0.008,0.017 +/- 0.007,-0.020 +/- 0.012,0.810 +/- 1.179,1.276 +/- 1.911,2.009 +/- 3.342,0.530 +/- 0.031,1.070 +/- 0.193,0.030 +/- 0.005,0.115 +/- 0.038
