Date,Asset,test_year,LONG ONLY,SIGN MOMENTUM,MACD MOMENTUM,DMN-SHARPE,DMN-AVGRET
2016-01-04,AAPL,2016,-0.014862008150200409,0.014862008150200409,0.012820032405295537,0.0004721672041294234,-0.003529821000019607
2016-01-04,ADBE,2016,0.0023351011970629905,0.0023351011970629905,0.0013935309147008414,0.0002514139533239819,0.0003886337356962767
2016-01-04,AMD,2016,-0.00200821120923927,-0.00200821120923927,-0.0014604996584456314,-1.0961674153698065e-07,-0.0002828390482015089
2016-01-04,SPY,2016,0.0015193119685733471,-0.0015193119685733471,8.442999136465542e-05,2.742827585419242e-05,0.00029104055927172204
2016-01-05,AAPL,2016,-0.011419230209188254,0.011419230209188254,0.009906172869116213,-0.00029587504324991593,-0.002504325937585462
2016-01-05,ADBE,2016,-0.008431202138295244,-0.008431202138295244,-0.00467981434494685,-0.0016627719508194542,-0.0016202038537868448
2016-01-05,AMD,2016,-0.02512862155491825,-0.02512862155491825,-0.019872852517211076,-0.0011766343833318536,-0.00395144879781601
2016-01-05,SPY,2016,-0.011514195502876728,-0.011714195502876728,0.0009577074734174063,0.00020408540201077082,-0.0024973528214501215
2016-01-06,AAPL,2016,-0.02461734720567986,0.02461734720567986,0.021114218603363395,-0.00045285990004845017,-0.005704623126134025
2016-01-06,ADBE,2016,-0.012399923959127652,-0.012399923959127652,-0.005839419111002523,-0.001683899448681312,-0.0022100004469183146
2016-01-06,AMD,2016,-0.02338076668558162,0.02318076668558162,-0.021454431664380623,-0.000786353730623152,-0.003479530594651516
2016-01-06,SPY,2016,-0.021766428032112938,-0.021766428032112938,0.006212909867272519,-0.0004286227983334329,-0.0044142743644893815
2016-01-07,AAPL,2016,0.0028754948998877513,-0.0028754948998877513,-0.0023508818366624186,0.00011992296924938669,0.0006407856934552964
2016-01-07,ADBE,2016,-0.008253163583978217,-0.008253163583978217,-0.0023511209255238624,-0.0008120902305202658,-0.0013889731986919454
2016-01-07,AMD,2016,-0.01392781580140051,0.01392781580140051,-0.011280076017621965,-0.00047351977273280276,-0.002318327900482884
2016-01-07,SPY,2016,-0.009378974306051112,0.009178974306051111,0.0047097775428989064,-0.00037078003868781166,-0.0018981268129058203
2016-01-08,AAPL,2016,0.008903033651249611,-0.008903033651249611,-0.006979217604335779,-0.0003305389463268741,0.0023456961336761444
2016-01-08,ADBE,2016,0.010212509597312866,0.010212509597312866,0.0011606777039300275,0.0009971443178526842,0.0018860215025434512
2016-01-08,AMD,2016,0.021543922676258997,-0.021543922676258997,0.011956904960644596,0.000428302713042269,0.004070683987771333
2016-01-08,SPY,2016,0.0008497870738981585,-0.0008497870738981585,-0.0005146879358890321,1.3176422532515802e-05,0.00019197688803553254
2016-01-11,AAPL,2016,0.007924390296490428,-0.007924390296490428,-0.006187255725687793,-0.000454202751853995,0.0021383928649416906
2016-01-11,ADBE,2016,0.0028749079313740776,0.0028749079313740776,0.00016551855820418757,0.000566798543275406,0.0005920003232987642
2016-01-11,AMD,2016,0.004607602665958645,-0.004607602665958645,0.0020599527148012957,0.0003763543683747617,0.001067190139917978
2016-01-11,SPY,2016,0.0070351715970290345,-0.0070351715970290345,-0.0044043167864704965,-4.7245072846783814e-05,0.0017040452743594232
2016-01-12,AAPL,2016,-0.014013538501020021,0.014013538501020021,0.011394494921297755,0.00072266599291914,-0.003707200695225139
2016-01-12,ADBE,2016,-0.010032514629301752,-0.010032514629301752,-0.0002979772882088168,-0.001969633923061083,-0.0019552227024104817
2016-01-12,AMD,2016,-0.012797431234253823,0.012797431234253823,-0.005073578798762391,-0.0003161057479626492,-0.0025923731416260345
2016-01-12,SPY,2016,-0.02181521826066794,0.02181521826066794,0.014420433341022986,0.00048016330387289265,-0.00549985619494789
2016-01-13,AAPL,2016,0.011795333663099015,-0.011795333663099015,-0.009601943096840867,0.00033786438340097113,0.002753589036260367
2016-01-13,ADBE,2016,0.010052721936655476,0.010052721936655476,-0.0004040166374988148,0.0008722550991592537,0.0018019050652247387
2016-01-13,AMD,2016,-0.00382754944942698,0.00382754944942698,-0.0010849803444990683,-0.00011081015699214432,-0.0007105215196911554
2016-01-13,SPY,2016,0.013569212618593255,-0.013569212618593255,-0.008901358978544606,0.0005982986258853797,0.0029270789033231134
2016-01-14,AAPL,2016,-0.0127162315766224,0.0127162315766224,0.010770001500370755,0.0007796794639445023,-0.0033438412087478187
2016-01-14,ADBE,2016,-0.004139056833630999,-0.004139056833630999,0.00019624150443054269,-0.0008760170195743935,-0.0008311214882455394
2016-01-14,AMD,2016,-0.017783820400072804,0.017783820400072804,-0.0031572762396848155,-0.00040089609571825047,-0.0034780142597904424
2016-01-14,SPY,2016,-0.01729195919499979,0.01729195919499979,0.011926577008887993,0.00032260324232798036,-0.00451422542605893
2016-01-15,AAPL,2016,-0.00254774832419839,0.00254774832419839,0.0021467065711460857,-8.276397212916431e-05,-0.0005831954099678486
2016-01-15,ADBE,2016,6.70593622166775e-05,6.70593622166775e-05,-1.0825807068109468e-05,2.8074321623827013e-07,1.1306086681088068e-05
2016-01-15,AMD,2016,-0.008284348000848183,0.008284348000848183,-0.00024665954439080526,-0.00033383243297185314,-0.0015252889638022675
2016-01-15,SPY,2016,0.0010417045588523898,-0.0010417045588523898,-0.0006974101547512025,3.8769452100927924e-05,0.0002295159858206852
2016-01-19,AAPL,2016,0.0007199858162899054,-0.0007199858162899054,-0.0006012685284810205,-5.318404139231664e-06,0.00017386360982766226
2016-01-19,ADBE,2016,-0.00845412231240541,-0.00845412231240541,0.0010343740428797842,-0.0012504155598085816,-0.001698978599895746
2016-01-19,AMD,2016,-0.016270674775840595,0.016270674775840595,0.0015688531356559798,-0.00045058410661851384,-0.0032824732416971074
2016-01-19,SPY,2016,-0.010181618809418036,0.010181618809418036,0.006660249389411393,-5.649868448535779e-05,-0.002631838617674773
2016-01-20,AAPL,2016,-0.0027517316292823674,0.0027517316292823674,0.0022825574528330178,-0.0001345705675400241,-0.0001250509783667096
2016-01-20,ADBE,2016,0.0004164374043932553,0.0004164374043932553,-7.47422918457213e-05,2.662912386901588e-05,-5.097997093389787e-05
2016-01-20,AMD,2016,0.03323461375469991,-0.03323461375469991,-0.0072477385182311985,0.001823083077528044,-0.001352472887885812
2016-01-20,SPY,2016,0.004465945606617703,-0.004465945606617703,-0.0027884767197000355,0.0002361398842222374,0.00015359501824742974
2016-01-21,AAPL,2016,0.029381714905770337,-0.029381714905770337,-0.02386331074109948,0.001439168637449115,0.0011259283985427344
2016-01-21,ADBE,2016,0.01149413186572148,0.01149413186572148,-0.002357771952311052,0.001582707072015884,-0.0005454732031416071
2016-01-21,AMD,2016,-0.005834681695098485,0.005834681695098485,0.001645951961172116,-0.0012952228121615194,-7.798802625767179e-05
2016-01-21,SPY,2016,0.016502088205519724,-0.016502088205519724,-0.010228595525796995,0.0008358614001457238,0.001017152968207516
2016-01-22,AAPL,2016,-0.009375487977967901,0.009375487977967901,0.008355413361537197,-2.2091819999252987e-05,-0.0007678790963390331
2016-01-22,ADBE,2016,-0.019624601406250695,-0.019624601406250695,0.00353613194647653,-0.0046529050529354864,0.00040445978095992
2016-01-22,AMD,2016,0.008718938250019091,-0.008718938250019091,-0.00296912270950204,0.0004372987654803246,-0.00015158157668815935
2016-01-22,SPY,2016,-0.011657693786766144,0.011657693786766144,0.008185822769954939,-0.00036777288062538884,-0.0009753180291980633
2016-01-25,AAPL,2016,0.0026652263960449296,-0.0026652263960449296,-0.0023665858731224255,0.00011976609280221304,6.0912513731824004e-05
2016-01-25,ADBE,2016,0.0008085449068638811,0.0008085449068638811,-0.00018684451965807327,2.8524812959956738e-05,-4.1130981756316306e-05
2016-01-25,AMD,2016,-0.004158659598632461,0.004158659598632461,0.0015258989864214711,-0.0002855384775337519,-1.6783715952999975e-05
2016-01-25,SPY,2016,0.010483713470325498,-0.010483713470325498,-0.007395167433740579,0.0005373474813830017,0.0004872515578100875
2016-01-26,AAPL,2016,-0.032106134994092705,0.032106134994092705,0.027695601984049547,-0.0009420942111882575,-0.001577850103557813
2016-01-26,ADBE,2016,-0.013951872451103691,-0.013951872451103691,0.0035194096048487998,-0.001460275831564104,0.0002272322949450969
2016-01-26,AMD,2016,0.005181424732685176,-0.005181424732685176,-0.0020731473099906686,0.00026856732845190336,-6.62562812339577e-05
2016-01-26,SPY,2016,-0.008285179557901031,0.008285179557901031,0.006328990577847725,-0.0002716599863775629,-0.0006605302238882189
2016-01-27,AAPL,2016,0.003055658054287963,-0.003055658054287963,-0.002648721139747875,0.00016299279362098917,-1.3369010721360587e-05
2016-01-27,ADBE,2016,-0.0022750387308757883,-0.0022750387308757883,0.0006294179649808323,-0.00013724978212419921,5.496188803398897e-05
2016-01-27,AMD,2016,-0.004243020758480382,0.004243020758480382,0.0017266214495516717,-0.00022535449188717773,1.4924883743061549e-05
2016-01-27,SPY,2016,0.00399367093231481,-0.00399367093231481,-0.0031332263405107422,0.00019569229605264046,0.00017945999144115466
2016-01-28,AAPL,2016,0.014898197056825985,-0.014898197056825985,-0.012592953434944664,0.00044781000415112127,0.0007643079521558775
2016-01-28,ADBE,2016,0.03243180130850399,0.03243180130850399,-0.009329715235430545,0.0024272037756171375,-3.852022032617279e-05
2016-01-28,AMD,2016,0.010569834757600502,-0.010569834757600502,-0.004492664140043326,0.0005188300597044306,-0.00021426032245680204
2016-01-28,SPY,2016,0.018903840671498615,-0.018903840671498615,-0.015438738307023121,0.000713408998606109,0.0011498772802390274
2016-01-29,AAPL,2016,-0.0039046185192464513,0.0039046185192464513,0.003212664596677669,-0.0002552042302528202,-0.00018765055340686488
