Date,test_year,LONG ONLY,SGN(RETURN),MACD,LINEAR,MLP-SHARPE,MLP-AVGRET,MLP-MSE,MLP-BINARY
2015-01-02,2015,-0.018059710303190313,-0.018059710303190313,-0.015047396174407176,-0.006274299631239631,-0.002208138878826802,-0.0035736951202654326,-0.0013869762834623231,-0.0016073904623190693
2015-01-05,2015,-0.00941873559958828,-0.00941873559958828,-0.00666982622194289,-0.00610873832324002,-0.0032148568502426986,-0.0022025290918172187,-0.001195161598836298,-0.0016185665890098623
2015-01-06,2015,0.012460922460195256,0.012460922460195256,0.006510609622775259,0.006687729029693637,0.003737793538759707,0.0028849276159107055,0.0014386968739143382,0.001907555121286224
2015-01-07,2015,0.01774507970247763,0.01774507970247763,0.00813662842358727,0.002843840248612474,0.0014878330529640037,0.00355512331217473,0.0009208826539023539,0.0013760692306433488
2015-01-08,2015,-0.008013612609047205,-0.008013612609047205,-0.004259782804983074,-0.0002776186477173453,-0.0001051809641365308,-0.0014358861010824251,-0.0004079670995785035,-0.0008734662466194103
2015-01-09,2015,-0.007833637199632593,-0.007833637199632593,-0.004135045095648813,-0.0042287277471167286,-0.002067988531092993,-0.0016404274396048092,-0.0008926714488557369,-0.0013350610119052348
2015-01-12,2015,-0.002812694738908994,-0.002812694738908994,-0.0013157556684363703,-0.0014884769586929287,-0.000729590685844587,-0.0005754103763481363,-0.0003104526078487624,-0.0005044210256792594
2015-01-13,2015,-0.006037201627844047,-0.006037201627844047,-0.002387701711127866,-0.0029459039598966792,-0.001311505250624098,-0.001226193162240998,-0.0005890740995212415,-0.0008504981405377342
2015-01-14,2015,-0.00916038512425188,-0.00916038512425188,-0.00271075861036615,-0.004778732806644081,-0.002310655383815585,-0.0018431585012030913,-0.0009340828037722184,-0.0016051264187435445
2015-01-15,2015,0.013114148287542315,0.013114148287542315,0.0020481065799735046,0.007569484080129709,0.0038893152571764537,0.00270428136769462,0.0014801255344332838,0.0025389141287023654
2015-01-16,2015,0.0021326449677927517,0.0021326449677927517,0.00030141078848521213,0.0003738433642059986,0.00011513191528846079,0.0003580661315405141,0.00011464433665477186,0.0003132168075277264
2015-01-20,2015,0.005048175745700378,0.005048175745700378,0.0007217065972964491,0.0020285764848491437,0.0008603166722302289,0.0009556507731497044,0.00036528753821242336,0.0008319785101988322
2015-01-21,2015,0.014870633335667183,0.014870633335667183,0.0027277934308132536,0.005543449539569971,0.002176867210555049,0.0029425051411355227,0.0008031443973841141,0.001932041420535754
2015-01-22,2015,-0.005482735467844169,-0.005482735467844169,-0.001904754225821923,-0.0008800502373414576,-0.00013365715377173677,-0.000988814712875138,-0.00012724627699652968,-0.0006453221848480485
2015-01-23,2015,0.0023419086560150237,0.0023419086560150237,0.0009864015064046806,0.0012177257218153202,0.00048473308775184924,0.0004811020468560143,0.00016995838767213422,0.0003683489480518967
2015-01-26,2015,-0.0131906852038437,-0.0131906852038437,-0.006683844906962663,-0.0052148630771126645,-0.0016023368064918531,-0.0026030760325251464,-0.000597955207162589,-0.0017116184658728614
2015-01-27,2015,-0.01282439755970799,-0.01282439755970799,-0.005731800544093914,-0.008040333788457922,-0.003660570020331764,-0.002843641143562174,-0.0011310849905904238,-0.002358569916841937
2015-01-28,2015,0.009243693992840862,0.009243693992840862,0.002650204680760813,0.005868828282330994,0.0028794361293410617,0.0021514042977289955,0.0009841965245568553,0.0017039040711704471
2015-01-29,2015,-0.012574842220905547,-0.012574842220905547,-0.0031225182918780017,-0.003461991603527877,-0.0013689083714021437,-0.0025840667387410777,-0.000371835886046289,-0.0015952867419466155
2015-01-30,2015,0.012384004792064696,0.012384004792064696,0.0013703411122331331,0.007303426219530461,0.0036846765603080166,0.002772898269065634,0.0013750141532232925,0.0025649519743774895
2015-02-02,2015,0.01446117100799671,0.01446117100799671,0.001558056424205494,0.0031821428197785504,0.001628055688720401,0.0028175932302683306,0.0005186926735791473,0.00221526037645108
2015-02-03,2015,-0.003807682707081206,-0.003807682707081206,-0.0008744254087379267,-0.0006340584304823668,-0.00017151717090224488,-0.0006949037442988695,-9.12787388602734e-05,-0.0006100903407487622
2015-02-04,2015,0.01009500988670009,0.01009500988670009,0.0028982182446818327,0.004427899359251161,0.0019339917053850992,0.0019136427591496977,0.0007455172617052264,0.0022883253101859415
2015-02-05,2015,-0.0027654236903428275,-0.0027654236903428275,-0.0011833683694273999,-0.0005217590744705183,-9.991787860056636e-05,-0.00045402337421779587,-0.00013782471684094634,-0.0005558682854257471
2015-02-06,2015,-0.004475643439491472,-0.004475643439491472,-0.0022484592174641365,-0.0018086228284263431,-0.0007188593598473026,-0.0008253064326166974,-0.0003269871779297514,-0.0009875613683705499
2015-02-09,2015,0.01065306681101208,0.01065306681101208,0.0055146452171881116,0.004763166057935566,0.0020898792964685955,0.0021497943087986,0.0007435823804501164,0.002157950783830554
2015-02-10,2015,0.0005802507306402749,0.0005802507306402749,0.0003452343705053164,5.3516895599118325e-05,-5.8351785630278105e-06,9.81437186589006e-05,1.5903783710270027e-05,9.600870333820484e-05
2015-02-11,2015,0.009616789922781477,0.009616789922781477,0.006546231097864648,0.0029042830575980575,0.0010375103718587753,0.0017177743563552852,0.0006078580321023309,0.0019978277199833305
2015-02-12,2015,0.004116543650286575,0.004116543650286575,0.0032121127274538338,0.00040548098741699897,-6.242218072155219e-05,0.0006572510333181256,0.00018182391530246025,0.000752445482844081
2015-02-13,2015,0.0015731892657271374,0.0015731892657271374,0.001348894850484208,0.00028124636708316673,2.4157833985738402e-05,0.00024847174501358067,8.544925434951037e-05,0.0003117865001391187
2015-02-17,2015,9.504600023535481e-05,9.504600023535481e-05,8.173812554615822e-05,1.741983978709302e-05,1.6008907512334779e-06,1.3987930468967254e-05,5.221450233130043e-06,1.886600154622658e-05
2015-02-18,2015,-0.0007136726342708011,-0.0007136726342708011,-0.0006704967311618405,-0.00016962744456574323,-2.8656676305740368e-05,-0.00011727696954964609,-3.872708601393241e-05,-0.00013853444033732463
2015-02-19,2015,0.006000427731260638,0.006000427731260638,0.005686991704528083,0.0014802384586011653,0.0002703703918209102,0.0009949020617809532,0.0003231989184852596,0.0010760865481639877
2015-02-20,2015,-0.0001420034145873661,-0.0001420034145873661,-0.0001371720884653547,-2.8240760041760506e-05,-3.0989308992173068e-06,-2.3200025458975173e-05,-6.9658345047668385e-06,-2.4361319961817328e-05
2015-02-23,2015,0.00284063982317595,0.00284063982317595,0.0027290966971986103,0.0006377482197210694,8.428500246649517e-05,0.0004897205412394964,0.00014760601233535138,0.00040236974489803195
2015-02-24,2015,-0.0008496229126221388,-0.0008496229126221388,-0.000814595973263802,-0.00012333050929713642,4.4926645938359055e-06,-0.0001396958451892238,-3.810000191950597e-05,-0.00011735755875716872
2015-02-25,2015,-0.0011812071781582834,-0.0011812071781582834,-0.001127450721019543,-0.0002495204979675538,-4.5440641964062033e-05,-0.00020207136536612894,-6.239040451071939e-05,-0.00017006987618895842
2015-02-26,2015,-0.003406375508094972,-0.003406375508094972,-0.00323718870827363,-0.0006093253337733265,-0.00012325740094482244,-0.0005543256120192808,-0.0001678814951824086,-0.0005509190436197142
2015-02-27,2015,0.006313676720089534,0.006313676720089534,0.0059762622482906124,0.0009756221745297949,0.00021313792572326363,0.0009532057816724366,0.00027601714765007265,0.0012048113272090277
2015-03-02,2015,-0.004104225285503249,-0.004104225285503249,-0.0038643016495830762,5.435362185634189e-05,0.00015699112362587472,-0.000616833165390479,-0.00016458890480225495,-0.0005826993726500075
2015-03-03,2015,-0.004215646564941666,-0.004215646564941666,-0.003940862687665808,-0.0009810946631525908,-0.0004033313351699924,-0.0006618661532394189,-0.0002581903795354648,-0.0007796648629741893
2015-03-04,2015,0.0010940025429873046,0.0010940025429873046,0.0010058311669971125,0.0002454608656066277,0.00010882624613510987,0.00018286350996286088,8.019677847512848e-05,0.00018204070570274514
2015-03-05,2015,-0.014064209282750428,-0.014064209282750428,-0.012729234157629384,-0.001609691773735349,-0.0007644638952620102,-0.002423036035296816,-0.0009581253365724326,-0.0018587699420848742
2015-03-06,2015,0.004144382206131558,0.004144382206131558,0.0034737743129451106,0.0019049160501392415,0.0011233096794166727,0.0008399038441146125,0.0004993830654898592,0.0008205873896436104
2015-03-09,2015,-0.016221602481239827,-0.016221602481239827,-0.012768451962228668,-0.0015251490735911021,-0.0013958957819432875,-0.0030271609947257693,-0.00108655442723539,-0.002022615544806278
2015-03-10,2015,-0.002341874947980216,-0.002341874947980216,-0.0015024420797902427,-0.001308494036027319,-0.0008058965884212429,-0.0005235929506746874,-0.0003167902676590959,-0.0004983836903025905
2015-03-11,2015,0.012713774798279287,0.012713774798279287,0.006213692060933287,0.003539160292338365,0.0027335227316726087,0.0025941138963397315,0.0011064147010747616,0.002186123836880493
2015-03-12,2015,-0.006132121944855462,-0.006132121944855462,-0.0028316558704069568,0.00012759477055068156,-0.00030375340057997666,-0.0011285380249446363,-0.00023333432404196522,-0.0007116954386037315
2015-03-13,2015,0.01336037175399829,0.01336037175399829,0.005277257118483082,0.005633951172508848,0.003312903032467218,0.002789834271245579,0.0014090172950629058,0.002190772109464839
2015-03-16,2015,-0.0029724407641735784,-0.0029724407641735784,-0.0013061509299854104,-0.00013278545419412088,-0.00012582304396215011,-0.0005485822013878799,-0.00014384399528524674,-0.0002960375532333262
2015-03-17,2015,0.012021473546720784,0.012021473546720784,0.005424295373820967,0.004851418383384757,0.002494925616315582,0.002469206150117244,0.0012124451765701556,0.0016344743606039106
2015-03-18,2015,-0.004561236026388138,-0.004561236026388138,-0.0025191885059834183,-0.00043863897353190406,-6.787228395061266e-05,-0.000814094868240955,-0.00025375965846982684,-0.0003754097123689075
2015-03-19,2015,0.008826825364204316,0.008826825364204316,0.005186009414192085,0.003964076805554467,0.0016584183453249362,0.0017680092718360297,0.0008932493936014755,0.0010925845085614598
2015-03-20,2015,-0.0019484234042168591,-0.0019484234042168591,-0.0013439019294950462,-0.00029604925801795677,-6.381541782177353e-05,-0.0003509946400610218,-0.00010935672916830682,-0.00018968869992886224
2015-03-23,2015,-0.005619169753416142,-0.005619169753416142,-0.004209036353255079,-0.0018912815534261364,-0.0008586600612819532,-0.0011158968105583371,-0.00038369129665160245,-0.0007909965289146025
2015-03-24,2015,-0.01465374458958979,-0.01465374458958979,-0.010836879079572002,-0.005803724339394828,-0.002878825271334141,-0.0030084932870060566,-0.0011256434138762403,-0.0022499651572984087
2015-03-25,2015,-0.0023813905908558475,-0.0023813905908558475,-0.0014774948113380102,-0.0013664640758669563,-0.0007661505655406393,-0.0005492914880284098,-0.0002699506212076978,-0.00045634316940824004
2015-03-26,2015,0.0022894075149251236,0.0022894075149251236,0.001122905872869901,0.0007859604342441472,0.00048225880281136036,0.0004976060120601902,0.00015351989175841225,0.0003384078506362487
2015-03-27,2015,0.012199888247619306,0.012199888247619306,0.005108767850904013,0.0032082214906976165,0.0021616613821531148,0.0025744186896988546,0.0007804027261142559,0.0016901485310556786
