Date,Adj Close,Volume,dff_level,fedfunds_monthly_level,close,ret_1d,next_ret_1d,sigma,daily_sigma,vol_scale,scaled_next_ret,ret_1d_norm,ret_21d_norm,ret_63d_norm,ret_126d_norm,ret_252d_norm,macd_8_24,macd_16_48,macd_32_96,sigma_norm,dff_change_21d,fedfunds_monthly_change_3m,dff_minus_monthly_fedfunds,LONG ONLY,SGN(RETURN),MACD,LINEAR,MLP-SHARPE,MLP-AVGRET,MLP-MSE,MLP-BINARY,test_year
2015-01-02,185.071075,121465900,0.12,0.11,185.071075,-0.0005351348013588053,-0.018059710303190313,0.13063841540360294,0.008229446638797216,1.148207436048425,-0.02073629366300347,-0.06502674779716908,-0.06737715987213741,0.9596000567637657,0.5095565114807429,1.109963682665803,0.696461415328399,1.299848024728748,1.9441256242464413,0.2221660886898873,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.8332025221771691,0.3474197274433164,0.12226878735904895,0.19788219524396947,0.07679947574891657,0.0890042218470757,2015
2015-01-05,181.728745,169632600,0.12,0.11,181.728745,-0.018059710303190313,-0.00941873559958828,0.1390472434226415,0.008759153013937404,1.0787700374905458,-0.010160649755881386,-2.0618077634191834,-0.6059836647017387,0.4620808190366538,0.3229491798417021,0.8954515387498736,0.29251056568050693,1.0693013856370246,1.811993209713504,0.2988131796266895,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.7068025376764825,0.6454092806454336,0.3390244108805992,0.23346770041997375,0.12636568521382366,0.1709751252324903,2015
2015-01-06,180.01709,209151400,0.12,0.11,180.01709,-0.00941873559958828,0.012460922460195256,0.13934932076197815,0.008778182097665805,1.0764315116843248,0.013413329600809135,-1.072969866094956,-0.8065053667081583,0.3387501771919406,0.29074894569568854,0.8407369974845128,-0.12277033699625903,0.8208233338074151,1.6893776249065193,0.2995566708917077,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.52394956639519,0.5375616304579288,0.3002722126340661,0.23153350362354636,0.11554353965920111,0.1532254211351572,2015
2015-01-07,182.260269,125346700,0.12,0.11,182.260269,0.012460922460195256,0.01774507970247763,0.1418120538633964,0.008933319700805794,1.0577380124858131,0.01876964533590103,1.3948799470673594,-0.537100513320034,0.7419065648166108,0.36716212177641205,0.8756128706276891,-0.24191811371079328,0.7136607301445569,1.6504364005710213,0.32027443107960063,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.45889530989821337,0.16237508937861242,0.0850576349074344,0.20051895100475642,0.05225177042716225,0.07797061128080489,2015
2015-01-08,185.494492,147217800,0.12,0.11,185.494492,0.01774507970247763,-0.008013612609047205,0.14826976534678213,0.009340117287083047,1.0116695042254304,-0.008107127495249444,1.8998755752524092,0.048217582089970554,0.7131637047283242,0.5666418856328094,0.9703341889956858,-0.0652285578897333,0.7430004435276019,1.6530402985906785,0.37764522133531986,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.5306726539016408,0.033029306802390246,0.012216317050352433,0.1789112350992899,0.05089229691068707,0.10861540354598948,2015
2015-01-09,184.008011,158567300,0.12,0.11,184.008011,-0.008013612609047205,-0.007833637199632593,0.14790548352520416,0.009317169689296455,1.0141611820256746,-0.007944570761939686,-0.8600899495641601,-0.12395272713404033,0.886596976625883,0.4730612781759425,0.9057375236746587,-0.057700002665666175,0.7303796730255453,1.689024853775734,0.3714676590515995,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.5278212211005417,0.5334288134568282,0.2608148205836604,0.20902374552639424,0.11315877648002116,0.16964760530292,2015
2015-01-12,182.566559,144396100,0.12,0.11,182.566559,-0.007833637199632593,-0.002812694738908994,0.14733580630366952,0.00928128339749267,1.018082459133114,-0.00286355517657924,-0.844024303956261,0.07041684461198451,0.9424178397489419,0.3459032433134597,0.8282142245814006,-0.16865638449909742,0.6374351417559453,1.6538151291000487,0.3633724338967059,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.4655789419322078,0.5290437057891872,0.25933961300384356,0.20441223770666944,0.1102729053550156,0.17900461014491564,2015
2015-01-13,182.053055,214553300,0.12,0.11,182.053055,-0.002812694738908994,-0.006037201627844047,0.14514073251500303,0.009143006746201054,1.0334796951951077,-0.006239325298175674,-0.3076331168350616,-0.11627379758012465,1.1606467752022933,0.3416295501217482,0.9229459529703798,-0.2953649414047137,0.5441417117858559,1.643873332566773,0.3407751740100078,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.3943177213243432,0.48726652228724876,0.21652815078650753,0.2030842161087548,0.09736014459654521,0.14023402466551918,2015
2015-01-14,180.953964,192991100,0.12,0.11,180.953964,-0.006037201627844047,-0.00916038512425188,0.14378232224742987,0.009057434942715452,1.0432436870915907,-0.00955651395220349,-0.6665457715754078,0.12935162403807438,1.0573999844210242,0.24607622788585604,0.7995456312931498,-0.4665490510630129,0.3942478045594883,1.5526699399415338,0.3261660454397406,0.0,0.020000000000000004,0.009999999999999995,1.0,1.0,0.294835903948872,0.5213022346371154,0.25185866112481536,0.2011890283463783,0.10192003956294651,0.17484692045579509,2015
2015-01-15,179.296356,176613900,0.12,0.11,179.296356,-0.00916038512425188,0.013114148287542315,0.1437052725736163,0.00905258126948904,1.0438030373809637,0.013688587815201032,-1.0119075137221925,0.07351866910690455,1.0218722317625886,0.26871215248346947,0.687688322936239,-0.7153761359658591,0.19344406596403754,1.4331690234799876,0.32336322440698173,0.009999999999999995,0.020000000000000004,0.009999999999999995,1.0,1.0,0.15722467503464052,0.5776293377463604,0.29691757813785463,0.2062495682048878,0.11294888439868714,0.19374525177882004,2015
2015-01-16,181.647675,211879600,0.13,0.11,181.647675,0.013114148287542315,0.0021326449677927517,0.14654133381417425,0.009231236334857269,1.0236019837939485,0.002182979619760842,1.420625970950767,0.5772533392731045,1.2069674849049976,0.2919219817823171,0.7826010123174479,-0.6755833888019158,0.1260763599169483,1.3584425980537775,0.3471442340597084,0.010000000000000009,0.020000000000000004,0.020000000000000004,1.0,1.0,0.1420437465712258,0.19331613588672425,0.06486641413722959,0.16961545334070122,0.05640808409370489,0.14896740749355078,2015
2015-01-20,182.035065,130991100,0.12,0.11,182.035065,0.0021326449677927517,0.005048175745700378,0.14425047242196928,0.009086925631716947,1.0398579462617763,0.0052493856632925065,0.23469352642369223,0.16484924412823265,1.0817873696966678,0.3370783081512019,0.844400112584066,-0.6174507653402014,0.0886113177486193,1.3297187355746087,0.3238801531363711,-0.010000000000000009,0.020000000000000004,0.009999999999999995,1.0,1.0,0.14298243615419215,0.4060577017714793,0.17255450790292262,0.18970410026994092,0.07268269121515357,0.1651278797361764,2015
2015-01-21,182.95401,122942700,0.12,0.11,182.95401,0.005048175745700378,0.014870633335667183,0.14258159258027076,0.008981796083403062,1.0520292085779082,0.015644340619174205,0.5620446153951818,-0.30303252275210596,1.02463729423544,0.34807231667498917,0.8708168607286629,-0.4869655603945316,0.09619069987962808,1.3152339690299377,0.3064024889142869,-0.010000000000000009,0.020000000000000004,0.009999999999999995,1.0,1.0,0.18370879064782278,0.3730006062230673,0.14656177946178772,0.1979288676842965,0.05413349244048615,0.13015843517234418,2015
