Strategy,E[Return],Vol.,Downside Deviation,MDD,Sharpe,Sortino,Calmar,Fraction +ve Returns,Ave. Profit / Ave. Loss,Turnover,Ave. Position
LONG ONLY,0.21466369220923617,0.11983013551341003,0.08353150761259366,-0.15456841828696266,1.7913998952727,2.5698529614096457,1.3887940019590816,0.5781094527363184,0.991851030863463,0.0,1.0
SIGN MOMENTUM,0.15542210797444636,0.10388146249819716,0.07332174122560124,-0.1282289386523363,1.4961486316881965,2.1197274556837544,1.212067335251352,0.5621890547263682,1.0172336370847055,0.039303482587064675,0.7723880597014925
MACD MOMENTUM,0.061019749147210756,0.06231976662901434,0.04526035132833877,-0.06517520128226206,0.9791395643449292,1.3481943324864247,0.9362418212249964,0.545273631840796,0.995628715583622,0.028702108310935944,0.47600074084978405
DMN-SHARPE,0.08276049696983874,0.05121394138826868,0.03517863471675769,-0.04638889984044914,1.6159759379268606,2.352578422562117,1.7840581961306856,0.5681592039800994,1.0549755720218748,0.04358266071275762,0.36961316271304867
DMN-AVGRET,0.11080509917903418,0.07970266191143496,0.05522848981858453,-0.10410524530271503,1.3902308470218978,2.0063032602015487,1.0643565447335286,0.5621890547263682,1.0478927790454486,0.04322110359703372,0.5164467319429746
