Strategy,0 bps,1 bps,2 bps,3 bps,5 bps
LONG ONLY,1.7913998952727,1.7913998952727,1.7913998952727,1.7913998952727,1.7913998952727
SIGN MOMENTUM,1.5063407308645296,1.4961486316881965,1.485948185494627,1.4757395438233771,1.4552982822100264
MACD MOMENTUM,0.9952860264417145,0.9791395643449292,0.9629933182886408,0.9468473122221054,0.9145561158338682
DMN-SHARPE,1.6406581228351336,1.6159759379268606,1.5912898762437262,1.566600398269189,1.517213034498415
DMN-AVGRET,1.4052809260018315,1.3902308470218978,1.3751699878686376,1.3600986986709604,1.3299262341752303
